id,nombre,indicePobreza,mayor65,soledad65
B-01,el Raval,56.64,31.9,11.3
B-02,el Barri Gòtic,103.91,30.2,10.1
B-03,la Barceloneta,71.16,32.8,17.0
B-04,"Sant Pere Santa Caterina i la Ribera",123.14,33.6,13.6
B-05,el Fort Pienc,129.74,25.3,20.8
B-06,la Sagrada Família,120.99,27.5,22.2
B-07,la Dreta de l'Eixample,281.88,27.1,21.3
B-08,l'Antiga Esquerra de l'Eixample,206.36,29.0,20.8
B-09,la Nova Esquerra de l'Eixample,148.97,26.8,23.4
B-10,Sant Antoni,121.6,28.5,22.0
B-11,el Poble-sec,72.13,28.6,16.6
B-12,la Marina del Prat Vermell,9.01,31.5,18.1
B-13,la Marina de Port,34.57,25.4,19.9
B-14,la Font de la Guatlla,78.49,24.9,23.5
B-15,Hostafrancs,99.51,24.7,19.2
